"id";"name";"description";"price";"categoryId";"productId";"typeId";"localDataSheet";"onlineDataSheet";"iconPath";"manufacturerId";"locationId";"amount";"amountType";"orderState";"packageId";"rating";"discourageOrder";"remark";"isSet";"dimensionTypeId"
157;"TL084ACN";"
Operational Amplifiers - Quad Op Amps JFET Input
";1.0;2;3;3;"";"http://www.ti.com/lit/gpn/tl084a";"";7;304;3;0;0;83;0.0;0;"";0;9
158;"TLC1549CP";"ADC Single In Serial 10 bit SAR, Serial 3-wire";4.0;2;29;28;"";"http://www.ti.com/lit/gpn/tlc1549";"";7;289;1;0;0;101;0.0;0;"";0;9
159;"SN74F04N";"Inverters Hex ";0.0;2;39;45;"";"http://www.ti.com/lit/gpn/sn74f04";"";7;305;2;0;0;101;0.0;0;"";0;9
160;"CD4017BE";"
Counter ICs 10 Decade/Divider
";0.0;2;40;1;"";"http://www.ti.com/lit/gpn/cd4017b";"";7;313;3;0;0;101;0.0;0;"";0;9
161;"L7805CV";"
Linear Voltage Regulators 5.0V 1.0A Positive
";0.0;2;7;9;"";"http://www.mouser.com/ds/2/389/l78-974043.pdf";"";8;282;5;0;0;101;0.0;0;"";0;13
162;"L7812CV";"
Linear Voltage Regulators 12V 1.5A Positive
";0.0;2;7;9;"";"http://www.mouser.com/ds/2/389/l78-974043.pdf";"";8;282;4;0;0;101;0.0;0;"";0;13
163;"L78L05ACZ-AP";"Linear Voltage Regulators 5.0V 0.1A Positive ";0.0;2;7;9;"";"http://www.mouser.com/ds/2/389/l78l-974102.pdf";"";8;282;2;0;0;101;0.0;0;"";0;14
164;"TEN 25-2411";"Isolated DC/DC Converters ";67.0;26;41;46;"";"http://www.mouser.com/ds/2/687/ten25-537647.pdf";"";49;298;1;0;0;101;0.0;0;"";0;1
166;"1985849";"Fixed Terminal Blocks MKDSN 1.5/2 HT
";0.0;4;42;47;"";"http://www.mouser.com/ds/2/324/ItemDetail_1890963-921565.pdf";"21948_1000_int_04.jpg";50;1;0;0;0;104;0.0;0;"";0;1
167;"CRCW0603499KFKEA";"Thin Film Resistors - SMD .1W 499Kohm 1% 0603 50ppm Auto ";0.0;3;31;43;"";"http://www.farnell.com/datasheets/2310790.pdf?_ga=2.23248760.399992394.1503839881-415134875.1489079669";"2116464-40.jpg";35;1;20;3;0;104;0.0;0;"";0;3
168;"KRM 02";"Wire-To-Board Terminal Block, 5 mm, 2 Ways, 2.5 mm², Screw";0.0;4;42;47;"";"http://www.farnell.com/datasheets/2047458.pdf?_ga=2.253997642.399992394.1503839881-415134875.1489079669";"42249390.jpg";51;1;20;3;0;104;0.0;0;"";0;1
